0,1,2,3,4
5.0,10.0,25.0,4.0,30.0
8.0,8.0,25.0,2.0,30.0
7.0,8.0,5.0,2.0,30.0
8.0,8.0,24.0,1.0,13.0
14.0,5.0,17.0,2.0,30.0
12.0,6.0,18.0,1.0,8.0
5.0,10.0,25.0,0.0,28.0
6.0,9.0,22.0,3.0,24.0
14.0,5.0,25.0,2.0,29.0
7.0,8.0,17.0,1.0,23.0
0.0,10.0,25.0,0.0,30.0
5.0,10.0,25.0,4.0,30.0
5.0,10.0,25.0,1.0,30.0
10.0,7.0,25.0,2.0,29.0
10.0,7.0,20.0,0.0,16.0
12.0,6.0,12.0,4.0,10.0
8.0,8.0,25.0,4.0,25.0
8.0,8.0,18.0,0.0,30.0
8.0,8.0,25.0,4.0,19.0
7.0,8.0,6.0,4.0,30.0
10.0,7.0,25.0,4.0,28.0
12.0,6.0,25.0,4.0,30.0
12.0,6.0,25.0,4.0,30.0
10.0,7.0,25.0,0.0,30.0
15.0,4.0,20.0,4.0,20.0
15.0,4.0,25.0,1.0,21.0
15.0,4.0,25.0,2.0,21.0
5.0,10.0,25.0,0.0,30.0
7.0,8.0,25.0,4.0,20.0
12.0,6.0,22.0,3.0,20.0
