0,1,2,3,4
12.0,6.0,25.0,4.0,30.0
15.0,4.0,25.0,0.0,30.0
8.0,8.0,19.0,4.0,30.0
10.0,7.0,16.0,2.0,30.0
8.0,8.0,25.0,0.0,30.0
15.0,4.0,25.0,4.0,9.0
15.0,4.0,25.0,4.0,30.0
15.0,0.0,25.0,4.0,30.0
15.0,4.0,7.0,1.0,30.0
15.0,4.0,25.0,4.0,30.0
14.0,5.0,25.0,3.0,28.0
15.0,0.0,25.0,4.0,30.0
12.0,5.0,15.0,3.0,22.0
10.0,7.0,24.0,2.0,12.0
14.0,5.0,25.0,4.0,30.0
15.0,3.0,25.0,0.0,30.0
14.0,5.0,20.0,4.0,29.0
14.0,4.0,25.0,3.0,30.0
14.0,5.0,25.0,2.0,30.0
15.0,3.0,25.0,0.0,30.0
10.0,7.0,21.0,1.0,19.0
15.0,4.0,25.0,1.0,30.0
15.0,4.0,25.0,4.0,30.0
15.0,4.0,25.0,1.0,30.0
5.0,10.0,25.0,4.0,30.0
15.0,4.0,25.0,4.0,30.0
15.0,4.0,7.0,4.0,30.0
10.0,7.0,25.0,2.0,11.0
14.0,5.0,22.0,1.0,6.0
5.0,10.0,13.0,4.0,30.0
